,,0,chem_acts,chem_moieties,chem_struct,chem_synonyms,chem_targets,compound,database_id,evidence,mass_spec_ion_type,mol_mass,molecular_formula
973,1,mibig_json_2.0/BGC0001016.json,,,,,,,,,,,
974,0,,"['Cytotoxic', 'Inhibitor']",,C[C@H]1[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(=C)N(C(=O)CC[C@@H](NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CCCN=C(N)N)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C,"['cyanoginosin lr', 'toxin i cyanobacterium']",[{'target': 'Eucaryotic protein phosphatases type 1 and 2A'}],microcystin LR,"['pubchem:445434', 'chebi:6925', 'chembl:444092', 'chemspider:4941647']",,,994.548767808,C49H74N10O12
974,1,mibig_json_2.0/BGC0001017.json,,,,,,,,,,,
975,0,,,,CCCCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](N2C(CCC(C2=O)NC(=O)[C@@H](NC1=O)CCCN=C(N)N)O)[C@H](C)CC)C)CC3=CC=C(C=C3)O)[C@@H](C)CC)C,,,micropeptin K139,['pubchem:101096212'],,,986.543682428,C47H74N10O13
975,1,mibig_json_2.0/BGC0001018.json,,,,,,,,,,,
976,0,,['Antifungal'],,CN1CC(=O)N[C@H](CC2=CNC3=CC=CC=C23)C(=O)NCC(=O)NC[C@H](O)CC(=O)N[C@H]([C@H](O)[C@@H](O)CC=CC=CC=CC2=CC=CC=C2)[C@H](O)C(=O)N[C@@H]2CC(=O)N[C@@]2(O)CC1=O,,,microsclerodermin M,['npatlas:8944'],,,886.386119168,C44H54N8O12
976,1,mibig_json_2.0/BGC0001019.json,,,,,,,,,,,
977,0,,,,CO[C@@H]1[C@H](O)[C@@H](CN)O[C@H]1O[C@@H]([C@H](NCCCNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)N[C@@H](C(C)C)C(O)=O)[C@@H]1CCNC(=N)N1)[C@@H](O)C(C)C)C(O)=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,,,muraymycin C1,['npatlas:6302'],,,945.440339556,C38H63N11O17
977,1,mibig_json_2.0/BGC0001020.json,,,,,,,,,,,
978,0,,,,C1CCN(C(=O)C(C1)NC(=O)CCOC(=O)C(CCCCCN(C=O)O)NC(=O)C2CO/C(=C\3/C=CC=CC3=O)/N2)O,,,mycobactin,['pubchem:5748534'],,,591.254042384,C27H37N5O10
978,1,mibig_json_2.0/BGC0001021.json,,,,,,,,,,,
979,0,,,,C[C@@H](CO)NC(=O)/C(=C/C=C/C=C\C=C\C(=C\[C@@H](C)[C@H](/C(=C/C(C)C)/C)O)\C)/C,,,myxalamid,['pubchem:5282085'],,,401.292994108,C25H39NO3
979,1,mibig_json_2.0/BGC0001022.json,,,,,,,,,,,
980,0,,,,C\C=C\C=C\C=C\C=C\C=C\C=C\C=C\C(=O)N(C)[C@H]1[C@@H](C)OC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC1=O,,,myxochromide S1,['npatlas:1302'],,,722.400312688,C38H54N6O8
980,1,mibig_json_2.0/BGC0001023.json,,,,,,,,,,,
981,0,,"['Antifungal', 'Cytotoxic']",,COC(\C=C\C1=CSC(=N1)C1=CSC(=N1)C(C)\C=C\C=C\C(C)C)C(C)C(\OC)=C/C(N)=O,,[{'target': 'respiratory chain inhibitor BC-I complex'}],myxothiazol,['npatlas:1854'],,,487.196333916,C25H33N3O3S2
981,1,mibig_json_2.0/BGC0001024.json,,,,,,,,,,,
982,0,,,,CCC[C@@H]1OC(=O)[C@@H](C)C[C@H](C)CCCCC(=O)CCCC(CC)\C=C\C=C(COC)\CC[C@@H](O)[C@@H](O)C[C@H](O)CNC1=O,,,myxovirescin A1,['npatlas:423'],,,623.4397179119999,C35H61NO8
982,1,mibig_json_2.0/BGC0001025.json,,,,,,,,,,,
983,0,,,,COC(=O)\C(=C\C)\C=C(/C)\C=C\C=C\C=C(/C)C(=O)[C@]12O[C@H]1[C@@](O)(CCO)NC2=O,,,NG-391,['npatlas:4762'],,,417.178752204,C22H27NO7
983,1,mibig_json_2.0/BGC0001026.json,,,,,,,,,,,
984,0,,,,CCCCCCCCCC(C(C)C(=O)NC1CCCCN(C1=O)O)OC(=O)C(CCCCN(C(=O)C)O)NC(=O)C2=C(OC(=C3C=CC=CC3=O)N2)C,,,nocobactin NA,['pubchem:102002485'],,,743.4105430239999,C38H57N5O10
984,1,mibig_json_2.0/BGC0001027.json,,,,,,,,,,,
985,0,,,,CCCC(=O)N[C@@H](C(C)C)C(=O)NC1COC(=O)[C@@H]2CCCN2C(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CC(=O)[C@H](CC(C)C)NC(=O)C2C[C@H](C)CN2C1=O,,,nostopeptolide A2,['npatlas:15196'],,,1066.569897176,C52H78N10O14
985,1,mibig_json_2.0/BGC0001028.json,,,,,,,,,,,
986,0,,,,CC[C@@H](C)[C@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@@H](CCC(N)=O)NC(=O)[C@@H](O)[C@@H](C[C@H](O)CCCC2=CC=CC=C2)NC(=O)[C@@H]2CCCN2C1=O,,,nostophycin,"['npatlas:16836', 'chemspider:8899707']",,,888.474540248,C46H64N8O10
986,1,mibig_json_2.0/BGC0001029.json,,,,,,,,,,,
987,0,,,,[H][C@@](CC1=CC=CC=C1)(NC(=O)C1=C(O)C2=C(C[C@@]([H])(C)OC2=O)C(Cl)=C1)C(O)=O,,,ochratoxin A,"['npatlas:16066', 'pubchem:442530']",,,403.0822649759999,C20H18ClNO6
987,1,mibig_json_2.0/BGC0001030.json,,,,,,,,,,,
988,0,,,,C/C/1=C/C/C=C(\CCC2CC(C(O2)C(/C=C(\C)/CC(=O)O)O)OC(=O)CC1OC(=O)C)/Cl,,,oocydin A,['pubchem:15978563'],,,470.17074563199986,C23H31ClO8
988,1,mibig_json_2.0/BGC0001031.json,,,,,,,,,,,
989,0,,,,,,,oocydin A,,,,,
989,1,mibig_json_2.0/BGC0001032.json,,,,,,,,,,,
990,0,,,,,,,paenilamicin,,,,,
990,1,mibig_json_2.0/BGC0001033.json,,,,,,,,,,,
991,0,,['Cytotoxic'],,CC/C=C(OC)/C(N[C@@H](C)/C=C(C)/C=C(C)/C=C/C[C@@H]([C@H]1OC([C@H](C)C[C@@H]1C)=O)C)=O,,,pellasoren,,,[M+H]+,431.30355879199993,C26H41NO4
991,1,mibig_json_2.0/BGC0001034.json,,,,,,,,,,,
992,0,,['Antifungal'],[{'moiety': 'Lipid'}],[H][C@@]12C[C@@H](O)CN1C(=O)[C@@]([H])(NC(=O)[C@@H](C[C@@H](O)[C@@H](O)NC(=O)[C@]1([H])[C@@H](O)CCN1C(=O)[C@@]([H])(NC(=O)[C@@]([H])(NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@H](O)CC(N)=O)NC(=O)CCCCCCCC[C@@H](C)C[C@@H](C)CC)[C@@H](C)O,[],[{'target': 'Glucan synthase'}],pneumocandin B0,"['npatlas:13799', 'pubchem:5742645']","['NMR', 'Mass spectrometry']",,1064.5641431000001,C50H80N8O17
992,1,,['Antifungal'],,[H][C@@]12C[C@@H](O)CN1C(=O)[C@@]([H])(NC(=O)[C@@H](C[C@@H](O)[C@@H](O)NC(=O)[C@]1([H])[C@@H](O)[C@@H](C)CN1C(=O)[C@@]([H])(NC(=O)[C@@]([H])(NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@H](O)CC(N)=O)NC(=O)CCCCCCCC[C@@H](C)C[C@@H](C)CC)[C@@H](C)O,"['cyclo[threonyl-(4-hydroxyprolyl)-(3', '4-dihydroxyhomotyrosyl)-(3-hydroxyglutaminyl)-(3-hydroxy-4-methylprolyl)-ngamma-(4', '5-dihydroxyornithine)]-nalpha-(10', '12-dimethyltetradecanoylamide); n-[[(1r)-3-amino-1-hydroxy-3-oxo-propyl]-[(2r)-1', '2-dihydroxy-2-(4-hydroxyphenyl)ethyl]-tetrahydroxy-[(1r)-1-hydroxyethyl]-methyl-hexaoxo-[?]yl]-10', '12-dimethyl-tetradecanamide']",[{'target': 'Glucan synthase'}],pneumocandin A0,"['npatlas:1123', 'pubchem:456419']","['NMR', 'Mass spectrometry']",,1078.579793164,C51H82N8O17
992,2,mibig_json_2.0/BGC0001035.json,,,,,,,,,,,
993,0,,,,[H][C@]1(NC(=O)[C@@](C)(O)[C@@]2(O)CC[C@H](C[C@@H](C)CC)[C@@H](CC)O2)[C@@H](OC(=O)[C@]([H])(C(C)C)N(O)C(=O)[C@H]2N(CC[C@@]2(C)O)C(=O)[C@H]2C[C@@H](O)CNN2C(=O)[C@H](C)N(O)C(=O)[C@H]2CCCNN2C1=O)C(C)C,,,polyoxypeptin,['npatlas:16176'],,,968.543013732,C45H76N8O15
993,1,mibig_json_2.0/BGC0001036.json,,,,,,,,,,,
994,0,,['Inhibitor'],,CC\C=C/[C@H](O)[C@H](O)C1=C(C)C(=O)[C@@]2(O1)C(O)[C@](NC2=O)(OC)C(=O)C1=CC=CC=C1,['pseurotin a'],[{'target': 'Immunoglobulin E'}],pseurotin,"['npatlas:3544', 'pubchem:9845622']",,,431.15801675999995,C22H25NO8
994,1,,['Inhibitor'],,CC\C=C\C=C\C1=C(C)C(=O)[C@@]2(O1)[C@@H](O)[C@](O)(CC1=CC=CC=C1)NC2=O,,[{'target': 'Raf-1'}],azaspirene,['npatlas:6799'],,,369.15762283600003,C21H23NO5
994,2,mibig_json_2.0/BGC0001037.json,,,,,,,,,,,
995,0,,['Antibacterial'],"[{'moiety': 'Pyrrole ring', 'subcluster': ['prlK', 'prlS', 'prlJ']}, {'moiety': 'cyclitol', 'subcluster': ['prlA', 'prlU', 'prlX', 'prlW', 'prlV', 'prlB', 'prlG']}]",CO[C@H]1[C@H](O)[C@@H](O)[C@@H](C=C1CO)N1C(Cl)=CC2=C1OC1=C(C(O)=C(Cl)C=C1C)C2=O,,,pyralomicin 1a,"['npatlas:13382', 'pubchem:3072006']",,,455.053857308,C20H19Cl2NO7
995,1,mibig_json_2.0/BGC0001038.json,,,,,,,,,,,
996,0,,,,CC/C(=C\1/C(=O)O[C@@H]([C@@H](C(=O)N[C@H]([C@@H]([C@H](C(=O)O1)C)O)CC2=CN=CC=C2)NC(=O)C3=C(C=CC=N3)O)C)/C,,,pyridomycin,['pubchem:3034101'],,,540.222013984,C27H32N4O8
996,1,mibig_json_2.0/BGC0001039.json,,,,,,,,,,,
997,0,,,,[H][C@@]12CC[C@@H](C)[C@@](O)(O1)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@]([H])(CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C2)OC)[C@H](C)C[C@@H]1CC[C@@H](O)[C@@H](C1)OC,,,rapamycin,"['npatlas:414', 'pubchem:5284616']",,,913.555141588,C51H79NO13
997,1,mibig_json_2.0/BGC0001040.json,,,,,,,,,,,
998,0,,['Cytotoxic'],,[H][C@](O)([C@@]1([H])CCCC=C1)[C@@]12NC(=O)[C@H](CCCl)[C@]1(C)OC2=O,,[{'target': '20S proteasome'}],salinosporamide A,['npatlas:11013'],"['NMR', 'X-ray']",,313.10808579999997,C15H20ClNO4
998,1,mibig_json_2.0/BGC0001041.json,,,,,,,,,,,
999,0,,,,CC[C@H]1C[C@H](C)[C@@]2(NC1=O)O[C@@H](C[C@H](O)[C@@H](C)CC\C=C\C=C(/C)[C@@H]1C\C=C\C=C\[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(C)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC3=CC(O)=CC=C3)C(=O)N3CCC[C@H](N3)C(=O)O1)[C@H](C)[C@H](O)[C@@H]2C,,,sanglifehrin A,"['npatlas:14131', 'pubchem:5388925']",,,1089.6613379720002,C60H91N5O13
999,1,mibig_json_2.0/BGC0001042.json,,,,,,,,,,,
1000,0,,,,,,,SGR PTMs,,,,,
1000,1,mibig_json_2.0/BGC0001043.json,,,,,,,,,,,
1001,0,,,,C[C@@H]1C(C(=O)[C@]2(O1)C[C@@H]3[C@]([C@@H]2OC(=O)C)(C[C@]45N3C(=O)[C@](N(C4=O)C)(SS5)CO)O)(C)C,,,sirodesmin PL,['pubchem:15608374'],,,486.113058,C20H26N2O8S2
1001,1,mibig_json_2.0/BGC0001044.json,,,,,,,,,,,
1002,0,,"['Antifungal', 'Cytotoxic', 'Inhibitor']",,[H][C@]12CSSCC\C=C\C(CC(=O)N[C@H](C)C(=O)N1)OC(=O)CC(O)C(NC2=O)C(C)C,,[{'target': 'Histone deacetylases'}],spiruchostatin A,"['npatlas:7276', 'pubchem:60209141']",,,473.16542771199994,C20H31N3O6S2
1002,1,mibig_json_2.0/BGC0001045.json,,,,,,,,,,,
1003,0,,['Antibacterial'],,C[C@H]1[C@@H]2C=C[C@]3(CO3)[C@@](O2)(O[C@H]1[C@H](C)/C=C(\C)/C=C/C(=O)C4=C(N([C@H](C4=O)[C@H](C)C(=O)NC)[C@@H]5CC[C@@H]([C@@H](O5)C)O)O)C,,[{'target': 'RNA polymerase'}],streptolydigin,,,[M+H]+,600.304680988,C32H44N2O9
1003,1,mibig_json_2.0/BGC0001046.json,,,,,,,,,,,
1004,0,,,,CC(C)C1/C=C/C(=O)NCC/C=C\C(C(=O)N1)NC(=O)C(C(C)C)NC(=O)NC(C(C)C)C(=O)O,,,syringolin A,['pubchem:24978526'],,,493.290033968,C24H39N5O6
1004,1,mibig_json_2.0/BGC0001047.json,,,,,,,,,,,
1005,0,,['Cytotoxic'],,CC1C(C(C(C(O1)OC(C(C2=NC(=CS2)C3=NC(=CS3)C(=O)NCCCC(CC(=O)NCCCNCCCCN)N)O)NC(=O)C(C(C)O)NC(=O)CC(C(C)NC(=O)C(C(C4=CN=CN4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)OC(=O)N)O)NC(=O)C7=C(C(=NC(=N7)C(CC(=O)N)NCC(C(=O)N)N)N)C)O)O)O)N,,[{'target': 'DNA and RNA'}],tallysomycin A,['pubchem:430602'],,,1730.7352182599984,C68H110N22O27S2
1005,1,mibig_json_2.0/BGC0001048.json,,,,,,,,,,,
1006,0,,,"[{'moiety': '2-pyridone', 'subcluster': ['tens', 'tenc', 'tena']}]",CCC(C)\C=C(/C)\C=C\C(=O)C1=C(O)C(=CN(O)C1=O)C1=CC=C(O)C=C1,,,tenellin,"['npatlas:5743', 'chemspider:10207541']",,,369.157622836,C21H23NO5
1006,1,mibig_json_2.0/BGC0001049.json,,,,,,,,,,,
1007,0,,['Inhibitor'],,CCCCCC\C=C/CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)[C@@H](O)CC(=O)N[C@@H](C(C)C)C(=O)N[C@H]1COC(=O)[C@H](CC2=CC=C(O)C=C2)N(C)C(=O)[C@@H](NC(=O)\C=C\1)C(C)C,,[{'target': 'Human calpain 1 protease'}],thalassospiramide A,"['npatlas:1933', 'chemspider:17214520']",,,957.5422854600001,C48H75N7O13
1007,1,mibig_json_2.0/BGC0001050.json,,,,,,,,,,,
1008,0,,['Antibacterial'],,CCCCCC\C1=C/C2=CSC(=N2)C(C)C(O)CC(O)\C=C\C=C/CC(OC1=O)C(O)C(O)C(C)C(O)C(\C)=C\C(\C)=C\C,,,thuggacin A,['npatlas:9721'],,,631.3542740359999,C35H53NO7S
1008,1,mibig_json_2.0/BGC0001051.json,,,,,,,,,,,
1009,0,,['Antibacterial'],,C[C@H]1[C@@H]2C(=O)[C@H]3[C@](O3)([C@@](O2)(O[C@@H]1[C@H](C)/C=C(\C)/C=C/C(=O)C4=C(NCC4=O)O)C)C,,,tirandamycin,,,[M+H]+,417.178752204,C22H27NO7
1009,1,mibig_json_2.0/BGC0001052.json,,,,,,,,,,,
1010,0,,,,CCC(C)C(NC(=O)C1CCCCN1C)C(=O)N(COC(=O)CC(C)C)C(CC(OC(C)=O)C1=NC(=CS1)C(=O)NC(CC(C)C(O)=O)CC1=CC=C(O)C=C1)C(C)C,,,tubulysin A,['npatlas:16692'],,,843.4452142800001,C43H65N5O10S
1010,1,mibig_json_2.0/BGC0001053.json,,,,,,,,,,,
1011,0,,['Antibacterial'],,CC(C)CC(C1CC2=C(C(=CC=C2)O)C(=O)O1)NC(=O)C(C(C(CCCN=C(N)N)N)O)O,,,xenocoumacin 1,['pubchem:163752'],,,465.25873384000005,C22H35N5O6
1011,1,,['Antibacterial'],,CC(C)CC(NC(=O)C(O)C(O)C1CCCN1)C1CC2=C(C(=O)O1)C(O)=CC=C2,,,xenocoumacin II,"['npatlas:15250', 'pubchem:129089']",,,406.21038667999994,C21H30N2O6
1011,2,mibig_json_2.0/BGC0001054.json,,,,,,,,,,,
1012,0,,,,C[C@@]1(CSC(=N1)C(C)(C)[C@@H]([C@@H]2CSC(N2)[C@H]3CS/C(=C/4\C=CC=CC4=O)/N3)O)C(=O)O,,,yersiniabactin,['pubchem:5462519'],,,481.11636934399996,C21H27N3O4S3
1012,1,mibig_json_2.0/BGC0001055.json,,,,,,,,,,,
1013,0,,['Antibacterial'],"[{'moiety': 'Polyamino alcohol', 'subcluster': ['CCM44330.1', 'CCM44331.1', 'CCM44332.1', 'CCM44333.1', 'CCM44334.1']}]",CCCCCC(N)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(O)CCNC(=O)CC(O)CC(O)C(N)C(C)C,,,zeamine,['npatlas:9575'],,,840.8119058080001,C49H104N6O4
1013,1,,['Antibacterial'],"[{'moiety': 'Polyamino alcohol', 'subcluster': ['CCM44330.1', 'CCM44331.1', 'CCM44332.1', 'CCM44333.1', 'CCM44334.1']}]",CCCCCC(N)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(O)CCNC(CC(O)C(N)C(C)C)=O,,,zeamine I,,,[M+H]+,796.7856910600001,C47H100N6O3
1013,2,,['Antibacterial'],"[{'moiety': 'Polyamino alcohol', 'subcluster': ['CCM44330.1', 'CCM44331.1', 'CCM44332.1', 'CCM44333.1', 'CCM44334.1']}]",CCCCCC(N)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(O)CCN,,,zeamine II,,,[M+H]+,653.6910624040001,C40H87N5O
1013,3,,['Antibacterial'],"[{'moiety': 'Polyamino alcohol', 'subcluster': ['CCM44330.1', 'CCM44331.1', 'CCM44332.1', 'CCM44333.1', 'CCM44334.1']}]",CCCCCC(N)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(O)CCNC(CC(CC(O)C(C(C)C)NC(C(C1C)NC(C(NC(C(NC(C(NC(CC(C(O)=O)N)=O)CC2=CN=CN2)=O)CC(N1)=O)=O)CC(N)=O)=O)=O)O)=O,,,prezeamine,,,[M+H]+,1404.0207293159995,C71H133N15O13
1013,4,,['Antibacterial'],"[{'moiety': 'Polyamino alcohol', 'subcluster': ['CCM44330.1', 'CCM44331.1', 'CCM44332.1', 'CCM44333.1', 'CCM44334.1']}]",CCCCCC(N)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(O)CCNC(CC(O)C(C(C)C)NC(C(C1C)NC(C(NC(C(NC(C(NC(CC(C(O)=O)N)=O)CC2=CN=CN2)=O)CC(N1)=O)=O)CC(N)=O)=O)=O)=O,,,prezeamine I,,,[M+H]+,1359.9945145679992,C69H129N15O12
1013,5,mibig_json_2.0/BGC0001056.json,,,,,,,,,,,
1014,0,,,,C[C@H]1CCCC(=O)CCC/C=C/C2=CC(=CC(=C2C(=O)O1)O)O,,,zearalenone,['pubchem:5281576'],,,318.1467238039999,C18H22O5
1014,1,mibig_json_2.0/BGC0001057.json,,,,,,,,,,,
1015,0,,['Cytotoxic'],,[H][C@](N)(CN[C@@]([H])(CC(N)=O)C1=NC(N)=C(C)C(=N1)C(=O)N[C@]([H])(C(=O)N[C@]([H])(CCO)[C@@]([H])(O)[C@]([H])(C)C(=O)N[C@]([H])(C(=O)NCCC1=N[C@]([H])(CS1)C1=NC(=CS1)C(=O)NCCC(N)=N)C(C)(C)O)[C@@]([H])(O[C@@H]1O[C@@H](C)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)C1=CNC=N1)C(N)=O,,[{'target': 'DNA'}],zorbamycin,"['npatlas:8777', 'pubchem:70697970']",,,1411.5608827399994,C55H85N19O21S2
1015,1,mibig_json_2.0/BGC0001058.json,,,,,,,,,,,
1016,0,,,,NC(CO)C(O)CC(O)[C@@H](N)[C@@H](O)[C@H](O)C(=O)NC(CNC(N)=O)C(N)=O,,,zwittermicin A,['npatlas:2819'],,,396.196861856,C13H28N6O8
1016,1,mibig_json_2.0/BGC0001059.json,,,,,,,,,,,
1017,0,,,,COC1=C([C@H](C)[C@@]23O[C@@]22[C@@H]1C#C\C=C/C#C[C@@H]3NC1=C2C=C(O)C2=C1C(=O)C1=C(C(O)=CC=C1O)C2=O)C(O)=O,,,dynemicin A,['npatlas:412'],,,537.1059811879999,C30H19NO9
1017,1,mibig_json_2.0/BGC0001060.json,,,,,,,,,,,
1018,0,,"['Antibacterial', 'Cytotoxic']","[{'moiety': '6-methylsalicylic acid', 'subcluster': ['ACN64830.1', 'ACN64831.1', 'ACN64832.1', 'ACN64833.1']}]",COC1=CC(=O)C2=C(C(C)=C3CC4(O)C(O[C@H]5CC[C@H](O[C@H]6C[C@@](C)(O)[C@H](OC(=O)C7=C(C)C=CC(C)=C7O)[C@H](C)O6)[C@@H](C)O5)C(=O)\C(=C(\C)O)C(=O)C4(O)C(=O)C3=C2O)C1=O,,,polyketomycin,"['npatlas:1096', 'chebi:66771']",,,864.2840646960002,C44H48O18
1018,1,mibig_json_2.0/BGC0001061.json,,,,,,,,,,,
1019,0,,,,CCC(C)C1=CC2=C(C(=O)N1CC(=O)N1CC(NC(=O)C1C)C(O)=O)C(=O)C1=C3C(O)=C4C(=O)C5=C(C(O)=CC=C5O)C(=O)C4=C(OC)C3=CC=C1C2=O,,,TLN-05220,['npatlas:12697'],,,737.1856880519999,C38H31N3O13
1019,1,mibig_json_2.0/BGC0001062.json,,,,,,,,,,,
1020,0,,,,CCCCCCCCCCCC1=CC=C(N1)\C=C1\N=C(C=C1OC)C1=CC=CN1,,,undecylprodigiosin,"['npatlas:9372', 'pubchem:6438379']",,,393.27801274,C25H35N3O
1020,1,mibig_json_2.0/BGC0001063.json,,,,,,,,,,,
1021,0,,['Cytotoxic'],[{'moiety': 'paracyclophane ring'}],OC1=C2C(O)=CC([C@H](OC(C)=O)[C@@H](C)CCCC[C@H](CCCC)C(C(O)=C3)=C(O)C=C3[C@H](OC(C)=O)[C@@H](C)CCCC[C@@H]2CCCC)=C1,,,cylindrocyclophane D,,,,668.4288188799999,C40H60O8
1021,1,,['Cytotoxic'],[{'moiety': 'paracyclophane ring'}],OC1=C2C(O)=CC([C@H](OC(C)=O)[C@@H](C)CCCC[C@H](CCCC)C(C(O)=C3)=C(O)C=C3C[C@@H](C)CCCC[C@@H]2CCCC)=C1,,,cylindrocyclophane E,,,,610.423339576,C38H58O6
1021,2,,['Cytotoxic'],[{'moiety': 'paracyclophane ring'}],OC1=C2C(O)=CC(C[C@@H](C)CCCC[C@H](CCCC)C(C(O)=C3)=C(O)C=C3C[C@@H](C)CCCC[C@@H]2CCCC)=C1,,,cylindrocyclophane F,,,,552.417860272,C36H56O4
1021,3,mibig_json_2.0/BGC0001064.json,,,,,,,,,,,
1022,0,,,,COC(C(C)O)C(C)C1OC1(C)CC(C)\C=C\C=C(/C)[C@@H]1OC(CC(O)=O)CC[C@H]1C,,,herboxidiene,"['npatlas:6425', 'pubchem:6438496']",,,438.2981390639999,C25H42O6
1022,1,mibig_json_2.0/BGC0001065.json,,,,,,,,,,,
1023,0,,"['Antibacterial', 'Cytotoxic']","[{'moiety': '2,3,5,6-tetrahydroxy-4-methylbenzoyl-CoA', 'subcluster': ['ken2', 'ken3', 'ken4', 'ken5', 'ken6', 'ken7', 'ken9', 'ken10']}]",[H][C@]12CC[C@H](C)\C=C(C)\C[C@@H](C)C[C@H](C)[C@]3(O)OC4=C(C)C(=O)C(O)=C(C4=C3)[C@]([H])(O1)[C@H](C)[C@@H](O)[C@H]2C,,,kendomycin,['npatlas:7727'],,,486.2981390639999,C29H42O6
1023,1,mibig_json_2.0/BGC0001066.json,,,,,,,,,,,
1024,0,,['Inhibitor'],,[H][C@@]1([C@H](OC)[C@@H](CC[C@]11CO1)OC(=O)\C=C\C=C\C=C\C=C\C(O)=O)[C@@]1(C)O[C@@H]1CC=C(C)C,"['amebacilin', 'fugillin', 'fumidil']",[{'target': 'methionine aminopeptidase 2'}],fumagillin,"['npatlas:10119', 'pubchem:6917655']",,,458.2304534279999,C26H34O7
1024,1,,,,CC(=CCC[C@@]1([C@H]2CCC(=C)[C@@H]1C2)C)C,"['exo-beta-bergamotene', 'trans-beta-bergamotene', '(e)-beta-bergamotene', '(+)-exo-beta-bergamotene']",,β-trans-bergamotene,['pubchem:12300069'],,,204.187800768,C15H24
1024,2,,['Inhibitor'],,CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)O)OC)C,"['alcohol-i from fumagillin', 'gelcohol']",[{'target': 'methionine aminopeptidase 2'}],fumagillol,['pubchem:222778'],,,282.183109312,C16H26O4
1024,3,mibig_json_2.0/BGC0001067.json,,,,,,,,,,,
1025,0,,,,[H][C@@]12C[C@H](OC(C)=O)[C@@]3(C)OC4=C([C@H](O)[C@]3([H])[C@@]1(C)CC[C@H](OC(C)=O)[C@@]2(C)COC(C)=O)C(=O)OC(=C4)C1=CN=CC=C1,,,pyripyropene A,"['npatlas:7480', 'pubchem:54734280']",,,583.2417463839998,C31H37NO10
1025,1,mibig_json_2.0/BGC0001068.json,,,,,,,,,,,
1026,0,,['Cytotoxic'],,CO[C@H]1[C@@H](OC2\C=C/C=C/C3=COC(=N3)C(C)C(CC(O)\C=C\C=C\C=C/C(C)C(OC(=O)\C=C/C=C/C=C\C(\C)=C\C2C)C(C)C(O)CC(C)O)OC)O[C@H](C)[C@@H](O)[C@@H]1OC,,[{'target': 'polymerizes actin'}],chivosazol,['npatlas:15768'],,,865.497626712,C49H71NO12
1026,1,mibig_json_2.0/BGC0001069.json,,,,,,,,,,,
1027,0,,['Antibacterial'],,CC[C@H](C(=O)NC/C=C/C=C(\C)/[C@H]([C@@H](C)[C@H]1[C@H]([C@H]([C@H](O1)/C=C/C=C/C=C(\C)/C(=C\2/C(=O)C=CNC2=O)/O)O)O)OC)[C@@]3([C@@H]([C@@H](C([C@@H](O3)/C=C/C=C\C)(C)C)O)O)O,"['mocimycin', 'delvomycin']",[{'target': 'EF-Tu'}],kirromycin,"['pubchem:54697674', 'chemspider:4883396']",,,796.4146253600001,C43H60N2O12
1027,1,mibig_json_2.0/BGC0001070.json,,,,,,,,,,,
