organism_name,NO,compound
Streptomyces griseochromogenes,0,blasticidin S
Streptomyces tendae,0,neopolyoxin C
Streptomyces cacaoi subsp. asoensis,0,polyoxin A
Streptomyces cacaoi subsp. asoensis,1,polyoxin H
Streptomyces alboniger,0,puromycin
Streptomyces rimosus,0,toyocamycin
Streptomyces rimosus,1,sangivamycin
Streptomyces chartreusis NRRL 3882,0,tunicamycin B1
Streptomyces ahygroscopicus subsp. wuzhouensis,0,toyocamycin
Streptomyces rimofaciens,0,mildiomycin
Streptomyces arginensis,0,arginomycin
Pseudomonas syringae pv. syringae,0,3-methylarginine
Streptomyces murayamaensis,0,4-hydroxy-3-nitrosobenzamide
Streptomyces tsukubensis,0,allylmalonyl-CoA
Dolichospermum circinale AWQC131C,0,saxitoxin
Dolichospermum circinale AWQC131C,1,gonyautoxin 2
Dolichospermum circinale AWQC131C,2,gonyautoxin 3
Dolichospermum circinale AWQC131C,3,toxin C2
Dolichospermum circinale AWQC131C,4,toxin C3
Dolichospermum circinale AWQC131C,5,gonyautoxin 5
Dolichospermum circinale AWQC131C,6,decarbamoylsaxitoxin
Dolichospermum circinale AWQC131C,7,decarbamoylgonyautoxin 2
Dolichospermum circinale AWQC131C,8,decarbamoylgonyautoxin 3
Bacillus sp. CS93,0,bacilysin
Streptomyces sp. WK-5344,0,bagremycin A
Streptomyces sp. WK-5344,1,bagremycin B
Pseudoalteromonas phenolica O-BC30,0,pentabromopseudilin
Pseudoalteromonas luteoviolacea 2ta16,0,pentabromopseudilin
Burkholderia gladioli BSR3,0,caryoynencin
Streptomyces venezuelae ATCC 10712,0,chloramphenicol
Monascus aurantiacus,0,citrinin
Lactobacillus plantarum subsp. plantarum,0,citrulline
Streptomyces lavendulae subsp. lavendulae,0,cycloserine
Streptomyces luridus,0,dehydrophos
Streptomyces venezuelae,0,desosamine
Streptomyces narbonensis,0,desosamine
Aspergillus oryzae,0,ferrichrome
Aspergillus niger,0,ferrichrome
Saccharopolyspora erythraea NRRL 2338,0,flaviolin
Streptomyces cattleya,0,fluorometabolite
Streptomyces rubellomurinus,0,FR-900098
Heliobacillus mobilis,0,heme D1
Heliophilum fasciatum,0,heme D1
Streptomyces lincolnensis,0,lincomycin
Streptomyces avermitilis,0,melanin
Streptomyces avermitilis,0,melanin
Streptomyces coelicolor A3(2),0,melanin
Streptomyces griseus subsp. griseus NBRC 13350,0,melanin
Streptomyces griseus subsp. griseus NBRC 13350,0,melanin
Enterobacter cloacae,0,MK-8
Streptomyces coelicolor A3(2),0,methylenomycin A
Streptomyces lavendulae,0,mitomycin
Staphylococcus carnosus,0,molybdenum cofactor
Rhodobacter capsulatus,0,molybdenum cofactor
Streptomyces avermitilis,0,ochronotic pigment
Pseudomonas syringae,0,phaseolotoxin
Bacillus cereus,0,polyhydroxyalkanoates
Pseudomonas putida,0,promysalin
Pseudomonas aeruginosa PAO1,0,pseudomonas quinolone signal (PQS)
Pseudomonas aeruginosa PAO1,0,paerucumarin
Pseudomonas chlororaphis,0,pyrrolnitrin
Pseudomonas fluorescens,0,quinolobactin
Bacillus subtilis subsp. spizizenii ATCC 6633,0,rhizocticin A
Cylindrospermopsis raciborskii T3,0,T3 toxin
Burkholderia glumae,0,xanthothricin
Fusarium graminearum,0,deoxynivalenol
Phaeobacter inhibens DSM 17395,0,tropodithietic acid
Streptomyces xiamenensis,0,xiamenmycin A
Kitasatospora sp. HKI 714,0,"5-acetyl-5,10-dihydrophenazine-1-carboxylic acid"
Kitasatospora sp. HKI 714,1,"5-(2-hydroxyacetyl)-5,10-dihydrophenazine-1-carboxylic acid"
Kitasatospora sp. HKI 714,2,endophenazine A1
Kitasatospora sp. HKI 714,3,endophenazine F
Kitasatospora sp. HKI 714,4,endophenazine G
Streptomyces antibioticus,0,esmeraldin
Pseudomonas aeruginosa PAO1,0,pyocyanine
Streptomyces sp. WM6372,0,fosfazinomycin A
Streptomyces fradiae,0,fosfomycin
Grimontia hollisae,0,aerobactin
Streptomyces coelicolor A3(2),0,desferrioxamin B
Streptomyces coelicolor A3(2),1,desferrioxamine E
Streptomyces griseus subsp. griseus NBRC 13350,0,desferrioxamin B
Bacillus anthracis str. Ames,0,petrobactin
Staphylococcus aureus subsp. aureus NCTC 8325,0,staphylobactin
Staphylococcus aureus subsp. aureus NCTC 8325,0,staphyloferrin A
Vibrio parahaemolyticus,0,vibrioferrin
Vibrio alginolyticus,0,vibrioferrin
Bacteroides fragilis NCTC 9343,0,α-galactosylceramide
Streptomyces griseus,0,A-500359 A
Streptomyces griseus,1,A-500359 B
Streptomyces sp. DSM 5940,0,napsamycin A
Streptomyces sp. DSM 5940,1,napsamycin B
Streptomyces sp. DSM 5940,2,napsamycin C
Streptomyces sp. DSM 5940,3,napsamycin D
Streptomyces sp. DSM 5940,4,mureidomycin A
Streptomyces sp. DSM 5940,5,mureidomycin B
Streptomyces coeruleorubidus,0,pacidamycin 1
Streptomyces coeruleorubidus,1,pacidamycin 2
Streptomyces coeruleorubidus,2,pacidamycin 3
Streptomyces coeruleorubidus,3,pacidamycin 4
Streptomyces coeruleorubidus,4,pacidamycin 5
Streptomyces coeruleorubidus,5,pacidamycin 6
Streptomyces coeruleorubidus,6,pacidamycin 7
Streptomyces coeruleorubidus,7,pacidamycin D
Streptomyces vinaceusdrappus,0,amicetin
Chondromyces crocatus,0,ajudazol A
Myxococcus xanthus,0,althiomycin
Pantoea agglomerans,0,andrimid
Streptomyces sp. XZQH13,0,mycotrienin I
Streptomyces sp. S4,0,antimycin
Aspergillus nidulans FGSC A4,0,aspyridone A
Streptomyces sahachiroi,0,azinomycin B
Burkholderia thailandensis E264,0,bactobolin
Lyngbya majuscula,0,barbamide
Streptomyces verticillus,0,bleomycin
Burkholderia thailandensis E264,0,burkholdac A
Streptomyces globisporus,0,C-1027
Actinoalloteichus sp. WH1-2216-6,0,caerulomycin A
uncultured Candidatus Entotheonella sp.,0,calyculin A
uncultured Candidatus Entotheonella sp.,1,phosphocalyculin A
uncultured Candidatus Entotheonella sp.,2,calyculinamide A
uncultured Candidatus Entotheonella sp.,3,dephosphonocalyculin A
Penicillium expansum,0,chaetoglobosins
Chondromyces crocatus,0,chondramide A
Chondromyces crocatus,0,chondrochloren A
Streptomyces cinnabarigriseus,0,cinnabaramide A
Escherichia coli,0,N-myristoyl-D-asparagine
Escherichia coli,1,cis-7-tetradecenoyl-D-asparagine
Escherichia coli,2,(R)-N1-((S)-5-oxohexan-2-yl)-2-tetradecanamidosuccinamide
Streptomyces sp. CS40,0,collismycin A
Chondromyces crocatus,0,crocacin
Nostoc sp. ATCC 53789,0,cryptophycin-327
Moorea producens 3L,0,curacin A
Aspergillus oryzae,0,cyclopiazonic acid
Cylindrospermopsis raciborskii AWT205,0,cylindrospermopsin
Aphanizomenon sp. 10E9,0,cylindrospermopsin
Aphanizomenon sp. 22D11,0,cylindrospermopsin
Aphanizomenon sp. 10E6,0,cylindrospermopsin
Cystobacter fuscus,0,cystothiazole A
Aspergillus clavatus NRRL 1,0,cytochalasin E
Aspergillus clavatus NRRL 1,1,cytochalasin K
Delftia acidovorans SPH-1,0,delftibactin A
Delftia acidovorans SPH-1,1,delftibactin B
Tistrella mobilis KA081020-065,0,didemnin B
Tistrella mobilis KA081020-065,1,nordidemnin B
Tistrella mobilis KA081020-065,2,didemnin X
Tistrella mobilis KA081020-065,3,didemnin Y
Stigmatella aurantiaca DW4/3-1,0,dkxanthene
Sorangium cellulosum,0,epothilone B
Sorangium cellulosum So0157-2,0,epothilone
Sorangium cellulosum,0,epothilone
Sorangium cellulosum,0,epothilone
Fusarium heterosporum,0,fusaridione A
Chromobacterium violaceum,0,FR901228
Streptomyces hygroscopicus subsp. ascomyceticus,0,FR-900520
Pseudomonas sp. 2663,0,FR901464
Streptomyces sp. SPB78,0,frontalamide B
[Polyangium] brachysporum,0,glidobactin
Streptomyces sp. K01-0509,0,guadinomine
Lysobacter enzymogenes,0,heat-stable antifungal factor
Lyngbya majuscula,0,hectochlorin
Lyngbya majuscula,0,jamaicamide A
Lyngbya majuscula,1,jamaicamide B
Lyngbya majuscula,2,jamaicamide C
Streptomyces roseoverticillatus,0,jawsamycin
Kitasatospora aureofaciens,0,α-lipomycin
Streptomyces sp. SCSIO 01127,0,lobophorin B
Bacillus subtilis,0,locillomycin
Salinispora tropica CNB-440,0,lymphostin
Salinispora tropica CNB-440,1,neolymphostinol B
Salinispora tropica CNB-440,2,lymphostinol
Salinispora tropica CNB-440,3,neolymphostin B
Salinispora arenicola CNS-205,0,lymphostin
Salinispora arenicola CNS-205,1,neolymphostinol B
Salinispora arenicola CNS-205,2,lymphostinol
Salinispora arenicola CNS-205,3,neolymphostin b
Actinomadura madurae,0,maduropeptin
Melittangium lichenicola,0,melithiazol A
Melittangium lichenicola,0,melithiazol A
Streptomyces sp. NRRL 30748,0,meridamycin
Streptomyces violaceusniger,0,meridamycin
Streptomyces sp.,0,meridamycin
Ralstonia solanacearum GMI1000,0,micacocidin
Planktothrix agardhii NIVA-CYA 126/8,0,microcystin
Anabaena sp. 90,0,microcystin
Microcystis aeruginosa PCC 7806,0,microcystin LR
Microcystis aeruginosa K-139,0,micropeptin K139
Sorangium cellulosum,0,microsclerodermin M
Streptomyces sp. NRRL 30471,0,muraymycin C1
Mycobacterium tuberculosis H37Rv,0,mycobactin
Stigmatella aurantiaca,0,myxalamid
Stigmatella aurantiaca,0,myxochromide S1
Stigmatella aurantiaca DW4/3-1,0,myxothiazol
Myxococcus xanthus DK 1622,0,myxovirescin A1
Metarhizium anisopliae,0,NG-391
Nocardia farcinica IFM 10152,0,nocobactin NA
Nostoc sp. GSV224,0,nostopeptolide A2
Nostoc sp. 152,0,nostophycin
Penicillium nordicum,0,ochratoxin A
Serratia marcescens,0,oocydin A
Serratia plymuthica,0,oocydin A
Paenibacillus larvae subsp. larvae DSM 25430,0,paenilamicin
Sorangium cellulosum,0,pellasoren
Glarea lozoyensis ATCC 20868,0,pneumocandin B0
Glarea lozoyensis ATCC 20868,1,pneumocandin A0
Streptomyces sp. MK498-98F14,0,polyoxypeptin
Aspergillus fumigatus Af293,0,pseurotin
Aspergillus fumigatus Af293,1,azaspirene
Nonomuraea spiralis,0,pyralomicin 1a
Streptomyces pyridomyceticus,0,pyridomycin
Streptomyces rapamycinicus NRRL 5491,0,rapamycin
Salinispora tropica CNB-440,0,salinosporamide A
Streptomyces flaveolus,0,sanglifehrin A
Streptomyces griseus subsp. griseus NBRC 13350,0,SGR PTMs
Leptosphaeria maculans,0,sirodesmin PL
Pseudomonas sp. Q71576,0,spiruchostatin A
Streptomyces lydicus,0,streptolydigin
Pseudomonas syringae,0,syringolin A
Streptoalloteichus hindustanus,0,tallysomycin A
Beauveria bassiana,0,tenellin
Tistrella bauzanensis,0,thalassospiramide A
Sorangium cellulosum,0,thuggacin A
Streptomyces sp. 307-9,0,tirandamycin
Archangium disciforme,0,tubulysin A
Xenorhabdus nematophila ATCC 19061,0,xenocoumacin 1
Xenorhabdus nematophila ATCC 19061,1,xenocoumacin II
Escherichia coli,0,yersiniabactin
Serratia plymuthica RVH1,0,zeamine
Serratia plymuthica RVH1,1,zeamine I
Serratia plymuthica RVH1,2,zeamine II
Serratia plymuthica RVH1,3,prezeamine
Serratia plymuthica RVH1,4,prezeamine I
Fusarium graminearum,0,zearalenone
Streptomyces flavoviridis,0,zorbamycin
Bacillus cereus,0,zwittermicin A
Micromonospora chersina,0,dynemicin A
Streptomyces diastatochromogenes,0,polyketomycin
Micromonospora echinospora subsp. challisensis,0,TLN-05220
Streptomyces coelicolor A3(2),0,undecylprodigiosin
Cylindrospermum licheniforme UTEX B 2014,0,cylindrocyclophane D
Cylindrospermum licheniforme UTEX B 2014,1,cylindrocyclophane E
Cylindrospermum licheniforme UTEX B 2014,2,cylindrocyclophane F
Streptomyces chromofuscus,0,herboxidiene
Streptomyces violaceoruber,0,kendomycin
Aspergillus fumigatus Af293,0,fumagillin
Aspergillus fumigatus Af293,1,β-trans-bergamotene
Aspergillus fumigatus Af293,2,fumagillol
unidentified unclassified sequences.,0,pyripyropene A
Sorangium cellulosum,0,chivosazol
Streptomyces collinus Tu 365,0,kirromycin
Nostoc sp. 'Peltigera membranacea cyanobiont',0,nosperin
Streptomyces antibioticus,0,simocyclinone D8
Micromonospora sp. TP-A0468,0,kosinostatin
Streptomyces olindensis,0,cosmomycin D
Rhodococcus erythropolis,0,aurachin RE
Streptomyces sp. SN-1061M,0,liposidomycin B
Streptomyces sp. SN-1061M,1,liposidomycin A
Streptomyces sp. SN-1061M,2,liposidomycin C
Streptomyces sp. SN-1061M,3,liposidomycin Z
Streptomyces sp. SN-1061M,4,liposidomycin H
Streptomyces sp. SN-1061M,5,liposidomycin G
Streptomyces sp. SN-1061M,6,liposidomycin L
Streptomyces sp. SN-1061M,7,liposidomycin M
Streptomyces sp. SN-1061M,8,liposidomycin K
Streptomyces sp. SN-1061M,9,liposidomycin N
Actinoplanes missouriensis 431,0,alkyl-O-dihydrogeranyl-methoxyhydroquinones
Streptomyces sp. KO-3988,0,furaquinocin B
Streptomyces aculeolatus,0,napyradiomycin A80915C
Streptomyces anulatus,0,endophenazine A
Streptomyces anulatus,1,endophenazine B
Penicillium paxilli,0,paxilline
Penicillium paxilli,1,paspaline
Penicillium paxilli,2,13-dehydroxypaxilline
Penicillium paxilli,3,paspaline B
Streptomyces sp. CNH189,0,merochlorin A
Streptomyces sp. CNH189,1,merochlorin B
Streptomyces sp. CNH189,2,deschloro-merochlorin A
Streptomyces sp. CNH189,3,deschloro-merochlorin B
Streptomyces sp. CNH189,4,isochloro-merochlorin B
Streptomyces sp. CNH189,5,dichloro-merochlorin B
Streptomyces sp. CNH189,6,merochlorin D
Streptomyces sp. CNH189,7,merochlorin C
Aspergillus sp. MF297-2,0,notoamide A
Streptomyces blastmyceticus,0,teleocidin B1
Xanthomonas albilineans,0,albicidin
Bacillus velezensis FZB42,0,bacillaene
Bacillus velezensis FZB42,0,bacillomycin D
Corallococcus coralloides,0,corallopyronin
Sorangium cellulosum,0,disorazol A
Burkholderia ambifaria AMMD,0,enacyloxin IIa
Bacillus velezensis FZB42,0,fengycin
Pseudomonas sp. 2663,0,FR901464
Bacillus subtilis,0,iturin
Pseudomonas fluorescens,0,kalimantacin A
Streptomyces rochei,0,lankacidin C
Streptomyces atroolivaceus,0,leinamycin
Burkholderia thailandensis E264,0,malleilactone
Bacillus subtilis subsp. spizizenii ATCC 6633,0,mycosubtilin
Myxococcus xanthus DK 1622,0,myxovirescin A1
Uncultured bacterium,0,onnamide A
Streptomyces albus,0,oxalomycin B
Uncultured bacterium,0,pederin
Uncultured bacterium,1,pseudopederin
Uncultured bacterium,2,pederone
unidentified unclassified sequences.,0,pederin
uncultured bacterium psy1,0,psymberin
uncultured bacterium psy1,1,irciniastatin B
Stigmatella aurantiaca Sg a15,0,rhizopodin
Paraburkholderia rhizoxinica,0,rhizoxin A
Burkholderia sp. FERM BP-3421,0,spliceostatin
Burkholderia sp. FERM BP-3421,1,FR901464
Burkholderia thailandensis,0,thailanstatin A
Pseudoalteromonas sp. SANK 73390,0,thiomarinol
Streptomyces virginiae,0,virginiamycin S1
Streptomyces himastatinicus ATCC 53653,0,himastatin
Aspergillus fumigatus Af293,0,endocrocin
Streptomyces sp. HKI0576,0,divergolide A
Streptomyces sp. HKI0576,1,divergolide B
Streptomyces sp. HKI0576,2,divergolide C
Streptomyces sp. HKI0576,3,divergolide D
Burkholderia thailandensis E264,0,burkholderic acid
Aspergillus terreus NIH2624,0,dihydroisoflavipucine
Aspergillus terreus NIH2624,1,isoflavipucine
Aspergillus oryzae RIB40,0,aspirochlorine
Aspergillus niger ATCC 1015,0,pyranonigrin E
Cylindrospermum alatosporum CCALA 988,0,puwainaphycin A
Cylindrospermum alatosporum CCALA 988,1,puwainaphycin B
Cylindrospermum alatosporum CCALA 988,2,puwainaphycin C
Cylindrospermum alatosporum CCALA 988,3,puwainaphycin D
Fischerella ambigua UTEX 1903,0,12-epi-hapalindole J isonitrile
Fischerella ambigua UTEX 1903,1,ambiguine A isonitrile
Fischerella ambigua UTEX 1903,2,ambiguine B isonitrile
Fischerella ambigua UTEX 1903,3,ambiguine C isonitrile
Fischerella ambigua UTEX 1903,4,ambiguine D isonitrile
Fischerella ambigua UTEX 1903,5,ambiguine E isonitrile
Fischerella ambigua UTEX 1903,6,ambiguine K isonitrile
Fischerella ambigua UTEX 1903,7,ambiguine L isonitrile
Fischerella ambigua UTEX 1903,8,ambiguine I isonitrile
Fischerella ambigua UTEX 1903,9,ambiguine J isonitrile
Janthinobacterium agaricidamnosum,0,jagaricin
Photorhabdus laumondii subsp. laumondii TTO1,0,luminmide
Xenorhabdus budapestensis,0,fabclavine Ia
Xenorhabdus miraniensis,0,ambactin
Xenorhabdus nematophila ATCC 19061,0,xenotetrapeptide
Xenorhabdus bovienii SS-2004,0,taxlllaid A
Photorhabdus laumondii subsp. laumondii TTO1,0,photopyrone A
Photorhabdus laumondii subsp. laumondii TTO1,1,photopyrone B
Photorhabdus laumondii subsp. laumondii TTO1,2,photopyrone C
Photorhabdus laumondii subsp. laumondii TTO1,3,photopyrone D
Photorhabdus laumondii subsp. laumondii TTO1,4,photopyrone E
Photorhabdus laumondii subsp. laumondii TTO1,5,photopyrone F
Photorhabdus laumondii subsp. laumondii TTO1,6,photopyrone G
Photorhabdus laumondii subsp. laumondii TTO1,7,photopyrone H
Xenorhabdus budapestensis,0,bicornutin A1
Xenorhabdus budapestensis,1,bicornutin A2
Beauveria bassiana,0,desmethylbassianin
Marinactinospora thermotolerans,0,marinacarboline A
Marinactinospora thermotolerans,1,marinacarboline B
Marinactinospora thermotolerans,2,marinacarboline C
Marinactinospora thermotolerans,3,marinacarboline D
Marinactinospora thermotolerans,0,a201a
Streptomyces platensis,0,platensimycin
Streptomyces platensis,1,platencin
Penicillium brefeldianum,0,4-epi-15-epi-brefeldin A
Penicillium aethiopicum,0,tryptoquialanine
Aspergillus niger ATCC 1015,0,azanigerone A
Trichophyton tonsurans CBS 112818,0,neosartoricin B
Streptomyces mobaraensis NBRC 13819 = DSM 40847,0,cyclothiazomycin b1
Streptomyces sp. NRRL WC-3908,0,cyclothiazomycin C
Streptomyces cirratus,0,pheganomycin
Pseudomonas sp. SHC52,0,brabantamide A
Streptomyces alboniger,0,pamamycin-607
Streptomyces antibioticus,0,valclavam
Streptomyces antibioticus,1,(-)-2-(2-hydroxyethyl)clavam
Paenibacillus polymyxa,0,fusaricidin B
Paenibacillus polymyxa,0,polymyxin B
Catenulispora acidiphila DSM 44928,0,cacibiocin B
Planobispora rosea,0,GE2270
Streptomyces platensis,0,platencin
Streptomyces scabiei 87.22,0,bottromycin A2
Streptomyces sp. CNQ-418,0,marinopyrrole A
Streptomyces sp. CNQ-418,1,marinopyrrole E
Streptomyces sp. CNQ-418,2,marinopyrrole D
Streptomyces sp. CNQ-418,3,marinopyrrole C
Streptomyces sp. CNQ-418,4,marinopyrrole B
Synechococcus sp. PCC 7002,0,1-nonadecene
Synechococcus sp. PCC 7002,1,"(14Z)-1,14-nonadecadiene"
Moorea bouillonii PNG,0,1-heptadecene
Moorea producens JHB,0,1-heptadecene
Moorea producens 3L,0,1-heptadecene
Cyanothece sp. PCC 7822,0,1-heptadecene
Lyngbya majuscula,0,curacin A
Alternaria jesenskae,0,HC-toxin
Microcystis aeruginosa PCC 7005,0,piricyclamide
Streptomyces lividans 1326,0,livipeptin
Streptomyces sp. SCSIO 03032,0,piericidin A1
Clostridium sporogenes ATCC 15579,0,clostridiolysin S
Listeria monocytogenes serotype 4b str. F2365,0,listeriolysin S
Streptomyces sp. CNH-287,0,chlorizidine A
Bacillus pumilus ATCC 7061,0,plantazolicin
Corynebacterium urealyticum DSM 7111,0,corynazolicin
Streptomonospora alba,0,streptomonomicin
Streptomyces bottropensis,0,mensacaricin
Actinoplanes sp. ATCC 53533,0,"UK-68,597"
Streptomyces bottropensis,0,rishirilide B
Streptomyces bottropensis,1,rishirilide A
Streptomyces coelicolor A3(2),0,geosmin
Chaetomium globosum CBS 148.51,0,chaetoglobosins
Streptomyces sp. FXJ7.023,0,lobophorin A
Bacillus velezensis FZB42,0,bacilysin
Bacillus velezensis FZB42,0,bacillibactin
Candidatus Entotheonella serta,0,misakinolide A
Glarea lozoyensis,0,xenolozoyenone
Streptomyces sp. CT34,0,legonaridin
Cupriavidus taiwanensis LMG 19424,0,taiwachelin
Fusarium verticillioides 7600,0,fusaric acid
Amycolatopsis sp. SANK 60206,0,A-102395
Paenibacillus alvei,0,colistin A
Paenibacillus alvei,1,colistin B
Saccharothrix algeriensis,0,thiolutin
Streptomyces scabrisporus,0,hitachimycin
Nocardiopsis sp. CMB-M0232,0,nocardiopsin A
Nocardiopsis sp. CMB-M0232,1,nocardiopsin B
Nocardiopsis sp. CMB-M0232,2,nocardiopsin C
Nocardiopsis sp. CMB-M0232,3,nocardiopsin D
Streptomyces scopuliridis,0,desotamide
Frankia sp. EAN1pec,0,frankiamicin
Herpetosiphon aurantiacus DSM 785,0,(+)-O-methylkolavelool
Streptomyces sp. NBRC 109706,0,akaeolide
Streptomyces sp. NBRC 109706,0,lorneic acid A
Sorangium cellulosum So ce56,0,eremophilene
uncultured bacterium AR_412,0,landepoxcin
uncultured bacterium AR_456,0,clarexpoxcin
Streptomyces versipellis,0,versipelostatin
Penicillium expansum,0,communesin A
Penicillium expansum,1,communesin B
Penicillium expansum,2,communesin C
Penicillium expansum,3,communesin D
Penicillium expansum,4,communesin E
Penicillium expansum,5,communesin G
Penicillium expansum,6,communesin H
Streptomyces griseus subsp. griseus,0,indolmycin
Eleftheria terrae,0,teixobactin
Streptococcus thermophilus LMD-9,0,streptide
Bacillus pseudomycoides DSM 12442,0,pseudomycoicidin
Amycolatopsis alba DSM 44262,0,albachelin
Nannocystis sp. MB1016,0,nannocystin a
Streptomyces sp. Tu 6176,0,nataxazole
Streptomyces drozdowiczii,0,marformycin A
Streptomyces drozdowiczii,1,marformycin B
Streptomyces drozdowiczii,2,marformycin C
Streptomyces drozdowiczii,3,marformycin D
Streptomyces drozdowiczii,4,marformycin E
Streptomyces drozdowiczii,5,marformycin F
Streptomyces conglobatus,0,conglobatin
Streptomyces sp. CNQ431,0,splenocin
Streptomyces qinglanensis,0,PreQ0 Base
Cordyceps fumosorosea,0,fumosorinone
Chaetomium globosum CBS 148.51,0,shanorellin
Aspergillus japonicus,0,aculeacin A
Streptomyces sp. CNQ-509,0,marinophenazine A
Streptomyces sp. CNQ-509,1,phenaziterpene A
Lactobacillus acidophilus,0,acidocin B
uncultured bacterium,0,hydroxysporine
uncultured bacterium,0,reductasporine
Streptomyces caelestis,0,celesticetin
Streptomyces collinus Tu 365,0,isorenieratene
Salinispora arenicola CNT005,0,retimycin A
Streptomyces bingchenggensis BCW-1,0,SBI-06990 A1
Streptomyces bingchenggensis BCW-1,1,SBI-06989 A2
Streptomyces sp. CNB091,0,salinamide A
Streptomyces sp. CNB091,1,salinamide B
Streptomyces sp. CNB091,2,salinamide C
Streptomyces sp. CNB091,3,salinamide D
Streptomyces sp. CNB091,4,salinamide E
Streptomyces sp. CNB091,5,salinamide F
Streptomyces sp. CNB091,6,desmethylsalinamide C
Streptomyces sp. CNB091,7,desmethylsalinamide E
Jahnella sp. MSr9139,0,microsclerodermin
Streptomyces sp. DSM 11171,0,feglymycin
Polyangium spumosum,0,antalid
Streptomyces afghaniensis,0,thiotetroamide
Salinispora pacifica DSM 45543 = CNS-863,0,thiolactomycin
Aspergillus nidulans,0,biotin
Aspergillus nidulans,0,biotin
Metarhizium robertsii,0,serinocyclin A
Metarhizium robertsii,1,serinocyclin B
Claviceps fusiformis,0,ergotamine
Fusarium fujikuroi,0,oxyjavanicin
Parastagonospora nodorum,0,(-)-Mellein
Lasiodiplodia theobromae,0,lasiodiplodin
Sarocladium zeae,0,trans-resorcylide
Hypholoma sublateritium,0,clavaric acid
Alternaria alternata,0,dimethylcoprogen
Epichloe festucae,0,epichloenin A
Epichloe festucae,0,epichloenin A
Alternaria alternata,0,UNII-YC2Q1O94PT
Alternaria alternata,0,ACT-Toxin II
Fusarium heterosporum,0,equisetin
Nodulisporium sp. ATCC74245,0,"1,3,6,8-tetrahydroxynaphthalene"
Glarea lozoyensis,0,"1,3,6,8-tetrahydroxynaphthalene"
Tolypocladium album,0,terpendole E
Alternaria alternata,0,AM-toxin
Alternaria alternata,0,AK-toxin I
Phoma betae,0,betaenone A
Phoma betae,1,betaenone B
Phoma betae,2,betaenone C
Bipolaris oryzae,0,melanin
Cladonia grayi,0,grayanic acid
Claviceps fusiformis,0,lysergic acid
Claviceps fusiformis,1,elymoclavine
Fusarium fujikuroi,0,fusarin
Aspergillus ochraceus,0,asperlactone
Glarea lozoyensis,0,6-methylsalicyclic acid
Aspergillus terreus,0,6-methylsalicyclic acid
Fusarium graminearum,0,nivalenol
Fusarium graminearum,1,vomitoxin
Fusarium graminearum,2,3-acetyldeoxynivalenol
Fusarium graminearum,3,15-acetyldeoxynivalenol
Fusarium graminearum,4,neosolaniol
Fusarium graminearum,5,calonectrin
Fusarium graminearum,6,apotrichodiol
Fusarium graminearum,7,isotrichotriol
Fusarium graminearum,8,15-deacetylcalonectrin
Fusarium graminearum,9,T-2 toxin
Fusarium graminearum,10,3-acetyl T-2 toxin
Fusarium graminearum,11,trichodiene
Fusarium sporotrichioides,0,nivalenol
Fusarium sporotrichioides,1,deoxynivalenol
Fusarium sporotrichioides,2,3-acetyldeoxynivalenol
Fusarium sporotrichioides,3,15-acetyldeoxynivalenol
Fusarium sporotrichioides,4,neosolaniol
Fusarium sporotrichioides,5,calonectrin
Fusarium sporotrichioides,6,apotrichodiol
Fusarium sporotrichioides,7,isotrichotriol
Fusarium sporotrichioides,8,15-decalonectrin
Fusarium sporotrichioides,9,T-2 toxin
Fusarium sporotrichioides,10,3-acetyl T-2 toxin
Fusarium sporotrichioides,11,trichodiene
Phoma betae,0,betaenone C
Phoma betae,1,betaenone A
Ustilago maydis 521,0,ustilagic acid
Streptomyces lividans 1326,0,arsono-polyketide
Parastagonospora nodorum SN15,0,alternariol
Pseudomonas putida,0,pseudopyronine A
Pseudomonas putida,1,pseudopyronine B
Ustilago maydis,0,itaconic acid
Streptomyces leeuwenhoekii,0,chaxamycin A
Streptomyces leeuwenhoekii,1,chaxamycin B
Streptomyces leeuwenhoekii,2,chaxamycin C
Streptomyces leeuwenhoekii,3,chaxamycin D
Micromonospora sp. GMKU326,0,maklamicin
Paenibacillus ehimensis,0,penisin
Aspergillus nidulans FGSC A4,0,emericellamide A
Aspergillus nidulans FGSC A4,1,emericellamide B
Enterococcus faecium,0,enterocin NKR-5-3B
Streptomyces sp. NRRL 12068,0,A33853
Streptomyces sp. NCIB 11649,0,cyclizidine
Streptomyces sp. MBT28,0,7-prenylisatin
Streptomyces cremeus,0,cremeomycin
Streptomyces sp. MSC090213JE08,0,streptazone E
Streptomyces calvus,0,WS9326
Streptomyces calvus,0,4-Z-annimycin
Sorangium cellulosum,0,chlorotonil A
Streptomyces sp. CNH365,0,anthracimycin
Streptomyces sp. T676,0,anthracimycin
Streptomyces lomondensis,0,lomofungin
Micromonospora sp. RL09-050-HVF-A,0,lobosamide A
Micromonospora sp. RL09-050-HVF-A,1,lobosamide B
Micromonospora sp. RL09-050-HVF-A,2,lobosamide C
Aspergillus flavus NRRL3357,0,aflavarin
Fusarium fujikuroi IMI 58289,0,fujikurin A
Fusarium fujikuroi IMI 58289,1,fujikurin B
Fusarium fujikuroi IMI 58289,2,fujikurin C
Fusarium fujikuroi IMI 58289,3,fujikurin D
Aspergillus flavus NRRL3357,0,asperipin 2a
Streptomyces leeuwenhoekii,0,chaxapeptin
